FirstName	LastName	SMSSchedule	Week1	Week2	Children_flag	Children_under_5_flag	User_Type_Screentime	Block_ID_123_A	Block_ID_13_A	Block_ID_123_B	Block_ID_13_B	Block_ID_123_C	Bedtime	Screentime_post7pm	Bedtime_Num	Screentime_post7	Perc_Gap_Bedtime_post7	Female	Age	Children	Children_under_5	Residence_Type1	Residence_Type2	NoiseLevel	Education	Employment	JobTitle	Roomate	WakeupTime	SleepTime
C17	C17	7am	1	0	0	0	1	0_0_1	0_1	0_0_1	0_1	1	11pm-12am	4-5 hours	11.5	4.5	100	1	25	0	0	Apartment	City	Some noise	Undergraduate	Employed, working 40 or more hours per week	Clinical Research Coordinator	Roommate	6am-7am	6 hours
C35	C35	8am	1	0	0	0	1	0_0_1	0_1	0_0_1	0_1	1	11pm-12am	4-5 hours	11.5	4.5	100	0	25	0	0	Apartment	City	Some noise	Graduate	Employed, working 40 or more hours per week	Associate		8am-9am	7 hours
C51	C51	7am	0	1	0	0	1	0_0_1	0_1	0_0_1	0_1	1	10pm-11pm	More than 5 hours	10.5	5.5	100	0	29	0	0	Apartment	City	Very noisy	Undergraduate	Employed, working 40 or more hours per week	Finance	Spouse/Partner	7am-8am	7 hours
C27	C27	7am	0	1	0	0	1	0_0_1	0_1	0_0_1	0_1	1	Past midnight	More than 5 hours	12	5.5	100	1	25	0	0	Apartment	Suburb	Quiet	Graduate	Employed, working 40 or more hours per week	Medical Scribe	Roommate	7am-8am	7 hours
C09	C09	8am	0	1	0	0	1	0_0_1	0_1	0_0_1	0_1	1	11pm-12am	More than 5 hours	11.5	5.5	100	1	29	0	0	Apartment	City	Quiet	Graduate	Employed, working 40 or more hours per week	Lawyer 		8am-9am	7 hours
C52	C52	5am	1	0	0	0	1	0_0_1	0_1	0_0_1	0_1	1	11pm-12am	More than 5 hours	11.5	5.5	100	1	27	0	0	Apartment	City	Some noise	Graduate	Employed, working 40 or more hours per week	Analyst 	Spouse/Partner	5am-6am	Less than 6 hours
C31	C31	7am	1	0	0	0	1	0_0_1	0_1	0_0_1	0_1	1	10pm-11pm	3-4 hours	10.5	3.5	100	1	25	0	0	Apartment	Suburb	Some noise	Undergraduate	Employed, working 40 or more hours per week	Consultant 	Parents	6am-7am	7 hours
C25	C25	7am	1	0	0	0	1	0_0_1	0_1	0_0_1	0_1	1	10pm-11pm	3-4 hours	10.5	3.5	100	0	26	0	0	House	Suburb	Some noise	Undergraduate	Employed, working 40 or more hours per week	Sr financial analyst	Roommate	7am-8am	More than 8 hours
C44	C44	7am	0	1	0	0	1	0_0_1	0_1	0_0_1	0_1	1	10pm-11pm	3-4 hours	10.5	3.5	100	0	24	0	0	Apartment	City	Noisy	Graduate	Employed, working 40 or more hours per week	Financial Analyst	Roommate	7am-8am	8 hours
C18	C18	5am	0	1	0	0	1	0_0_1	0_1	0_0_1	0_1	1	10pm-11pm	4-5 hours	10.5	4.5	100	1	26	0	0	House	City	Noisy	Undergraduate	Employed, working 40 or more hours per week	Strategy and Operations Associate 	Roommate	5am-6am	7 hours
C15	C15	8am	0	1	0	0	1	0_0_1	0_1	0_0_1	0_1	1	Past midnight	4-5 hours	12	4.5	90	0	29	0	0	Apartment	Suburb	Quiet	Graduate	Employed, working 40 or more hours per week	Senior Solutions Analyst	Roommate	8am-9am	7 hours
